Game,Set,Card Number,Card Name,Energy,Might,Domain,Card Type,Tags,Ability,Rarity,Artist,Image URL
Riftbound,Origins,OGN-001/298,Blazing Scorcher,5,5,Fury,Unit,"Dragon, Noxus",[Accelerate] (You may pay 1 EnergyFury as an additional cost to have me enter ready.),Common,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ed971e4029a92b362a81ccadf309fb81e40b81-744x1039.png
Riftbound,Origins,OGN-002/298,Brazen Buccaneer,6,5,Fury,Unit,"Pirate, Bilgewater","As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by 2 Energy.",Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d481971f7560e7235e7d6934767da18daa019eff-744x1039.png
Riftbound,Origins,OGN-003/298,Chemtech Enforcer,2,2,Fury,Unit,Zaun,"[Assault 2] (+2 Might while I'm an attacker.)When you play me, discard 1.",Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/19dcf211457d9c9c6e9ea0cd32af76c2c92a3160-744x1039.png
Riftbound,Origins,OGN-004/298,Cleave,1,,Fury,Spell,,[Action] (Play on your turn or in showdowns.)Give a unit [Assault 3] this turn. (+3 Might while it's an attacker.),Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/95d476a1e88ff547fb846149619177bc7e3cea9f-744x1039.png
Riftbound,Origins,OGN-005/298,Disintegrate,4,,Fury,Spell,,"[Action] (Play on your turn or in showdowns.)Deal 3 to a unit at a battlefield. If this kills it, draw 1.",Common,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a27374ac3a81f3dfefb43c3c3237c23b4883cb5a-744x1039.png
Riftbound,Origins,OGN-006/298,Flame Chompers,3,3,Fury,Unit,Zaun,"When you discard me, you may pay Fury to play me.",Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1f6f5ebd18e5daac30d62626fddd785c4b457c2b-744x1039.png
Riftbound,Origins,OGN-007/298,Fury Rune,,,Fury,Basic Rune,,,Common,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/12bcd0cde5d9ff4640e82945001e9fef863530f1-744x1039.png
Riftbound,Origins,OGN-007a/298,Fury Rune,,,Fury,Basic Rune,,,Showcase,Fairfoul,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/09da06c69d07d4e72dde703737ef167472c715af-1488x2078.png
Riftbound,Origins,OGN-008/298,Get Excited!,2,,Fury,Spell,,[Action] (Play on your turn or in showdowns.)Discard 1. Deal its Energy cost as damage to a unit at a battlefield. (Ignore its Power cost.),Common,Original Force Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2906c932c482af17fbb2979a8c42a6992f95d6a6-744x1039.png
Riftbound,Origins,OGN-009/298,Hextech Ray,1,,Fury,Spell,,[Action] (Play on your turn or in showdowns.)Deal 3 to a unit at a battlefield.,Common,League of Legends,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7d12693822c38377ddc8f15db23e2f9b6d560a-744x1039.png
Riftbound,Origins,OGN-010/298,Legion Rearguard,2,2,Fury,Unit,"Trifarian, Noxus",[Accelerate] (You may pay 1 EnergyFury as an additional cost to have me enter ready.),Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/aedece01c7792c689050460db1670e6b9b15b61f-744x1039.png
Riftbound,Origins,OGN-011/298,Magma Wurm,8,8,Fury,Unit,Freljord,Other friendly units enter ready.,Common,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f6565b15f65f538804e6a56623c8aa2eedeffc22-744x1039.png
Riftbound,Origins,OGN-012/298,Noxus Hopeful,4,4,Fury,Unit,"Trifarian, Noxus",[Legion] — I cost 2 Energy less._ (Get the effect if you've played another card this turn.)_,Common,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c3bb6f4cb58feeb50e396d12ec9865c5434025af-744x1039.png
Riftbound,Origins,OGN-013/298,Pouty Poro,2,2,Fury,Unit,Poro,[Deflect] (Opponents must pay Rune Rainbow to choose me with a spell or ability.),Common,Caravan Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d541bf3bcb5aa3ad0d48d87f5753569b72ac426f-744x1039.png
Riftbound,Origins,OGN-014/298,Sky Splitter,8,,Fury,Spell,,[Action] (Play on your turn or in showdowns.)This spell's Energy cost is reduced by the highest Might among units you control.Deal 5 to a unit at a battlefield.,Common,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/01faae468720dd5bf5e3fe12ba56c01af70263be-744x1039.png
Riftbound,Origins,OGN-015/298,Captain Farron,4,5,Fury,Unit,"Trifarian, Noxus",Other friendly units here have [Assault]. (+1 Might while they're attackers.),Uncommon,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c65e2cae6748590f589ad8b26bc5a20c0d770c2-744x1039.png
Riftbound,Origins,OGN-016/298,Dangerous Duo,3,3,Fury,Unit,"Mech, Bandle City","[Legion] — When you play me, give a unit +2 Might this turn. (Get the effect if you've played another card this turn.)",Uncommon,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3c02ea9e438d407c739276b788e015ac93843651-744x1039.png
Riftbound,Origins,OGN-017/298,Iron Ballista,3,,Fury,Gear,,This enters exhausted.Exhaust: Deal 2 to a unit at a battlefield.,Uncommon,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9b5cfe757b6067994e17e284eba46433880a1461-744x1039.png
Riftbound,Origins,OGN-018/298,Noxus Saboteur,3,3,Fury,Unit,"Trifarian, Noxus",Your opponents' [Hidden] cards can't be revealed here.,Uncommon,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b78f0c822cb984db24ac3f1956cc8c10f8f88b22-744x1039.png
